plant,OptimalSoilDepth,AbsoluteSoilDepth,MinOptimalTemperature,MaxOptiomalTempreture,MinAbsoluteTemperature,MaxAbsoluteTemperature,OptimalSoilTexture,AbsoluteSoilTexture,OptimalRainfallMin,OptimalRainfallMax,AbsoluteRainfallMin,AbsoluteRainfallMax,OptimalSoilFertility,AbsoluteSoilFertility,OptimalLatitudeMin,OptimalLatitudeMax,AbsoluteLatitudeMin,AbsoluteLatitudeMax,OptimalSoilSalinity,AbsoluteSoilSalinity,OptimalSoilPhMin,OptimalSoilPhMax,AbsoluteSoilMin,AbsoluteSoilMax,OptimalSoilDrainage,AbsoluteSoilDrainage,OptimalLightIntensityMin,OptimalLightIntensityMax,AbsoluteLightIntensityMin,AbsuluteLightIntensityMax,ClimateZone,PhotoPeriod,MinCropCycle,MaxCropCycle
Eriobotrya japonica,deep (>>150 cm),shallow (20-50 cm),21,27,9,36,"medium, light","heavy, medium, light",600,1600,400,4000,high,moderate,20,10,30,40,low (<4 dS/m),low (<4 dS/m),5.5,6.5,4.5,8,well (dry spells),"poorly (saturated >50% of year), well (dry spells)",clear skies,cloudy skies,very bright,cloudy skies,"tropical wet & dry (Aw), tropical wet (Ar), subtropical humid (Cf), subtropical dry summer (Cs), temperate oceanic (Do)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",150,210
Eriochloa fatmensis,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Eriochloa punctata,medium (50-150 cm),shallow (20-50 cm),22,28,12,33,medium,"heavy, medium, light",1500,2000,700,4300,high,low,-,-,20,24,low (<4 dS/m),low (<4 dS/m),5.5,6.5,4.5,7.5,"poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells)",very bright,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), tropical wet (Ar), subtropical humid (Cf)",short day (<12 hours),60,150
Eriosema psoraleoides,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Eruca sativa,shallow (20-50 cm),shallow (20-50 cm),15,25,8,29,"medium, light","medium, light",500,900,300,1100,moderate,low,-,-,-,-,low (<4 dS/m),medium (4-10 dS/m),7,8,6,8.5,well (dry spells),well (dry spells),very bright,clear skies,very bright,cloudy skies,"steppe or semiarid (Bs), subtropical dry summer (Cs)",,70,150
Eryngium campestre,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,well (dry spells),well (dry spells),,,,,"temperate oceanic (Do), temperate continental (Dc)",,0,0
Erythrina abyssinica,deep (>>150 cm),medium (50-150 cm),16,26,10,30,"medium, light","medium, light",800,2000,600,2500,moderate,moderate,-,-,30,35,low (<4 dS/m),low (<4 dS/m),4,5.5,3.5,6.5,well (dry spells),well (dry spells),very bright,very bright,very bright,very bright,tropical wet & dry (Aw),,365,365
Erythrina caffra,deep (>>150 cm),medium (50-150 cm),16,28,12,35,medium,medium,700,1000,400,1500,high,moderate,-,-,30,35,low (<4 dS/m),low (<4 dS/m),5.5,7,5,7.5,well (dry spells),well (dry spells),clear skies,very bright,clear skies,very bright,"tropical wet & dry (Aw), subtropical humid (Cf), subtropical dry summer (Cs)",,365,365
Erythrina edulis,deep (>>150 cm),deep (>>150 cm),15,22,5,25,"heavy, medium, light, wide","heavy, medium, light, wide",600,1500,450,1800,moderate,low,-,-,-,-,low (<4 dS/m),low (<4 dS/m),5.5,7,4.5,8,well (dry spells),well (dry spells),clear skies,very bright,light shade,very bright,"tropical wet & dry (Aw), steppe or semiarid (Bs), subtropical dry summer (Cs)",short day (<12 hours),365,365
Erythrina fusca,deep (>>150 cm),medium (50-150 cm),16,24,12,32,"heavy, medium, light","heavy, medium, light",1200,3000,1000,3500,high,moderate,-,-,15,20,low (<4 dS/m),low (<4 dS/m),4.5,6.5,4,7,poorly (saturated >50% of year),"poorly (saturated >50% of year), well (dry spells)",clear skies,very bright,clear skies,very bright,tropical wet & dry (Aw),,365,365
Erythrina poeppigiana,deep (>>150 cm),deep (>>150 cm),22,28,16,36,medium,medium,1000,4000,800,4500,moderate,low,-,-,15,20,low (<4 dS/m),low (<4 dS/m),5,7,4.3,7.5,well (dry spells),well (dry spells),clear skies,very bright,clear skies,very bright,"tropical wet & dry (Aw), tropical wet (Ar)",,365,365
Erythrina variegata,deep (>>150 cm),medium (50-150 cm),17,27,10,34,"medium, light","heavy, medium, light",1500,2500,500,3000,high,moderate,-,-,25,25,low (<4 dS/m),medium (4-10 dS/m),5,7,4.5,7.5,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), tropical wet (Ar), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",180,365
Erythrina vespertilio,medium (50-150 cm),shallow (20-50 cm),20,35,10,45,"heavy, medium, light","heavy, medium, light",500,1300,150,1700,moderate,,10,10,29,29,low (<4 dS/m),medium (4-10 dS/m),5.5,7,4.5,8,well (dry spells),well (dry spells),very bright,very bright,very bright,clear skies,"tropical wet & dry (Aw), desert or arid (Bw), steppe or semiarid (Bs), subtropical humid (Cf)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",60,300
Erythrophleum chlorostahys,deep (>>150 cm),shallow (20-50 cm),22,28,13,43,"heavy, medium, light","heavy, medium, light",1000,1400,300,1700,moderate,low,11,11,20,20,low (<4 dS/m),low (<4 dS/m),5.5,6.5,4.5,7.5,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), steppe or semiarid (Bs)",short day (<12 hours),180,365
Erythroxylum coca,deep (>>150 cm),medium (50-150 cm),17,23,14,27,medium,"heavy, medium, light",1000,2100,700,4000,high,moderate,-,-,40,40,low (<4 dS/m),low (<4 dS/m),5.5,6.5,4.3,8,well (dry spells),well (dry spells),very bright,very bright,very bright,clear skies,"tropical wet & dry (Aw), tropical wet (Ar), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw)",short day (<12 hours),150,180
Eucalyptus accedens,medium (50-150 cm),shallow (20-50 cm),18,28,8,40,medium,"heavy, medium, light",600,800,450,1000,low,low,22,22,33,33,low (<4 dS/m),low (<4 dS/m),5.5,7,5,7.5,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,very bright,very bright,cloudy skies,"steppe or semiarid (Bs), subtropical dry summer (Cs)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",150,240
Eucalyptus agglomerata,deep (>>150 cm),medium (50-150 cm),18,28,8,37,medium,"heavy, medium, light",800,1000,700,1150,moderate,low,32,32,37.5,37.5,low (<4 dS/m),low (<4 dS/m),5.5,6.5,5,7,well (dry spells),well (dry spells),very bright,clear skies,very bright,cloudy skies,subtropical humid (Cf),"short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",180,240
Eucalyptus albens,deep (>>150 cm),medium (50-150 cm),18,30,8,40,medium,"heavy, medium, light",600,1100,500,1200,moderate,low,26,26,28,38,low (<4 dS/m),low (<4 dS/m),5.5,6.5,5,7,well (dry spells),well (dry spells),very bright,clear skies,very bright,cloudy skies,"desert or arid (Bw), steppe or semiarid (Bs), subtropical humid (Cf)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",180,240
Eucalyptus astringens,medium (50-150 cm),shallow (20-50 cm),18,28,8,40,medium,"heavy, medium, light",450,650,350,750,moderate,low,31.7,31.7,35,35,low (<4 dS/m),low (<4 dS/m),5.5,7,5,7.5,well (dry spells),well (dry spells),very bright,very bright,very bright,clear skies,"steppe or semiarid (Bs), subtropical dry summer (Cs)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",180,240
Eucalyptus bosistoana,deep (>>150 cm),medium (50-150 cm),17,26,8,35,medium,medium,800,1100,700,1200,high,,33,33,37.5,37.5,low (<4 dS/m),low (<4 dS/m),5.5,7,5,7.5,well (dry spells),"poorly (saturated >50% of year), well (dry spells)",very bright,clear skies,very bright,cloudy skies,"subtropical humid (Cf), temperate oceanic (Do)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",150,240
Eucalyptus botryoides,deep (>>150 cm),medium (50-150 cm),22,29,5,35,medium,"heavy, medium, light",700,1300,650,1600,moderate,low,32,32,38,38,low (<4 dS/m),medium (4-10 dS/m),5.5,6.5,5,7.5,well (dry spells),well (dry spells),very bright,very bright,very bright,clear skies,"subtropical humid (Cf), subtropical dry winter (Cw), temperate oceanic (Do)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",210,330
Eucalyptus brassiana,deep (>>150 cm),medium (50-150 cm),22,33,10,38,"heavy, medium, light","heavy, medium, light",1500,2500,1000,3000,low,low,5,-,20,27,low (<4 dS/m),low (<4 dS/m),5,6.5,4.5,7,well (dry spells),"poorly (saturated >50% of year), well (dry spells)",very bright,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), tropical wet (Ar)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",210,270
Eucalyptus brevifolia,shallow (20-50 cm),shallow (20-50 cm),24,38,14,45,"medium, light","medium, light",450,700,250,800,low,low,15,15,20,20,low (<4 dS/m),low (<4 dS/m),5,6,4.5,6.5,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), steppe or semiarid (Bs)",short day (<12 hours),100,300
Eucalyptus brockwayi,medium (50-150 cm),shallow (20-50 cm),25,34,4,40,"medium, light","medium, light",250,300,220,400,moderate,low,31,31,33,33,low (<4 dS/m),medium (4-10 dS/m),7,7.5,6.5,8,"well (dry spells), excessive (dry/moderately dry)","well (dry spells), excessive (dry/moderately dry)",very bright,very bright,very bright,very bright,"desert or arid (Bw), steppe or semiarid (Bs), subtropical dry summer (Cs)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",120,180
Eucalyptus calophylla,deep (>>150 cm),medium (50-150 cm),18,26,8,36,"medium, light","medium, light",900,1200,650,1500,moderate,low,29,29,35,35,low (<4 dS/m),low (<4 dS/m),5.5,6.5,5,7,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,clear skies,very bright,cloudy skies,subtropical dry summer (Cs),"short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",180,249
Eucalyptus camaldulensis,deep (>>150 cm),shallow (20-50 cm),12,28,7,40,"medium, light","heavy, medium, light",600,1000,250,2500,moderate,low,32,-,38,55,low (<4 dS/m),medium (4-10 dS/m),5,7,4.5,8,"poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells)",very bright,very bright,very bright,clear skies,"tropical wet & dry (Aw), steppe or semiarid (Bs), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",180,365
"Eucalyptus camaldulensis, northern provenances",medium (50-150 cm),medium (50-150 cm),25,35,10,50,"medium, light","heavy, medium, light",700,1300,250,2500,moderate,low,15,15,31,32,low (<4 dS/m),medium (4-10 dS/m),6.5,7.5,6,8,"poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells)",very bright,very bright,very bright,clear skies,"tropical wet & dry (Aw), desert or arid (Bw), steppe or semiarid (Bs), subtropical humid (Cf)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",120,300
Eucalyptus citriodora,deep (>>150 cm),medium (50-150 cm),22,32,12,40,"medium, light","heavy, medium, light",800,1500,600,2500,low,low,-,-,26,20,low (<4 dS/m),low (<4 dS/m),5.5,6.5,5,7.5,"well (dry spells), excessive (dry/moderately dry)","well (dry spells), excessive (dry/moderately dry)",very bright,very bright,very bright,clear skies,"tropical wet & dry (Aw), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",180,365
Eucalyptus cladocalyx,medium (50-150 cm),shallow (20-50 cm),23,32,6,35,"medium, light","medium, light",450,650,380,800,low,low,32.5,32.5,36,36,low (<4 dS/m),medium (4-10 dS/m),6,6.5,5.5,7.5,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,very bright,very bright,clear skies,"steppe or semiarid (Bs), subtropical dry summer (Cs)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",180,270
Eucalyptus cloeziana,medium (50-150 cm),shallow (20-50 cm),22,32,8,37,"medium, light","medium, light",800,2000,550,2300,moderate,low,15.7,15.7,26.2,26.2,low (<4 dS/m),low (<4 dS/m),5,6.5,4.5,7.5,well (dry spells),well (dry spells),very bright,cloudy skies,very bright,light shade,tropical wet & dry (Aw),"short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",210,365
Eucalyptus consideniana,medium (50-150 cm),shallow (20-50 cm),15,27,8,33,"medium, light","medium, light",900,1200,700,1400,low,,33,33,39,39,low (<4 dS/m),low (<4 dS/m),5.5,6.5,4.5,7.5,well (dry spells),"poorly (saturated >50% of year), well (dry spells)",very bright,clear skies,very bright,cloudy skies,"subtropical humid (Cf), temperate oceanic (Do)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",150,240
Eucalyptus cornuta,deep (>>150 cm),medium (50-150 cm),17,27,10,35,"medium, light","medium, light",800,1100,700,1200,moderate,low,33.5,33.5,35,35,low (<4 dS/m),low (<4 dS/m),5.5,6.5,5,7,well (dry spells),well (dry spells),very bright,clear skies,very bright,cloudy skies,subtropical dry summer (Cs),"short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",180,240
Eucalyptus crebra,medium (50-150 cm),shallow (20-50 cm),26,36,9,40,"medium, light","medium, light",600,2000,500,2400,moderate,low,13.5,13.5,34.2,34.2,low (<4 dS/m),low (<4 dS/m),5.5,6.5,5,7.5,well (dry spells),well (dry spells),very bright,very bright,very bright,cloudy skies,"tropical wet & dry (Aw), steppe or semiarid (Bs), subtropical humid (Cf)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",180,210
Eucalyptus cypellocarpa,deep (>>150 cm),medium (50-150 cm),21,31,14,36,"heavy, medium","heavy, medium, light",800,1400,600,2200,moderate,low,34,30,38,39,low (<4 dS/m),medium (4-10 dS/m),6,7,5.5,7.5,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",clear skies,very bright,light shade,very bright,subtropical humid (Cf),,365,365
Eucalyptus dalrympleana,deep (>>150 cm),medium (50-150 cm),17,28,4,34,"heavy, medium","heavy, medium, light",800,1900,700,2200,moderate,moderate,33,33,45,45,low (<4 dS/m),low (<4 dS/m),5.5,6.5,5,7,well (dry spells),well (dry spells),very bright,very bright,very bright,cloudy skies,"subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",210,300
Eucalyptus deglupta,deep (>>150 cm),medium (50-150 cm),24,32,16,38,"medium, light","heavy, medium, light",2000,4000,1200,7000,moderate,low,-,-,10,11,low (<4 dS/m),low (<4 dS/m),5.5,7.5,4.5,8,well (dry spells),"poorly (saturated >50% of year), well (dry spells)",very bright,very bright,very bright,cloudy skies,"tropical wet & dry (Aw), tropical wet (Ar)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",240,365
Eucalyptus delegatensis,deep (>>150 cm),medium (50-150 cm),17,25,4,30,medium,"heavy, medium, light",900,2500,700,3500,high,moderate,35,35,42,42,low (<4 dS/m),low (<4 dS/m),5.5,6.5,5,7,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,very bright,very bright,clear skies,"subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",180,365
Eucalyptus diversicolor,deep (>>150 cm),shallow (20-50 cm),18,28,8,36,"medium, light","medium, light",1000,1200,500,1500,moderate,low,34,34,35,35,low (<4 dS/m),low (<4 dS/m),5,6,4.5,6.5,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,very bright,very bright,clear skies,subtropical dry summer (Cs),"short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",180,240
Eucalyptus dumosa,medium (50-150 cm),shallow (20-50 cm),18,28,8,39,"medium, light","heavy, medium, light",300,450,250,500,moderate,low,30.5,30.5,37,37,low (<4 dS/m),low (<4 dS/m),6.5,8,6,8.5,well (dry spells),well (dry spells),very bright,very bright,very bright,clear skies,"steppe or semiarid (Bs), subtropical dry summer (Cs)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",120,180
Eucalyptus elata,deep (>>150 cm),medium (50-150 cm),15,28,8,33,medium,medium,900,1400,650,1700,moderate,,33,33,38,38,low (<4 dS/m),low (<4 dS/m),5.5,6.5,5,7,well (dry spells),well (dry spells),very bright,clear skies,very bright,cloudy skies,"subtropical humid (Cf), temperate oceanic (Do)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",150,240
Eucalyptus eugenioides,deep (>>150 cm),medium (50-150 cm),18,28,8,38,medium,light,800,1000,700,1100,moderate,low,22,22,37,37,low (<4 dS/m),low (<4 dS/m),5.5,6.5,5,7,well (dry spells),well (dry spells),very bright,clear skies,very bright,cloudy skies,subtropical humid (Cf),"short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",180,240
Eucalyptus exserta,deep (>>150 cm),shallow (20-50 cm),20,30,10,44,medium,"heavy, medium, light",700,1200,400,1500,moderate,,17,17,28,28,low (<4 dS/m),low (<4 dS/m),6,7,5,7.5,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), steppe or semiarid (Bs), subtropical humid (Cf)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",150,300
Eucalyptus fastigata,deep (>>150 cm),medium (50-150 cm),16,28,3,32,medium,"heavy, medium, light",900,1800,750,2200,high,moderate,30,30,38,38,low (<4 dS/m),low (<4 dS/m),5,6.5,4.5,7,well (dry spells),well (dry spells),very bright,very bright,very bright,clear skies,"subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",210,365
Eucalyptus fraxinoides,medium (50-150 cm),shallow (20-50 cm),15,28,8,36,,,900,1000,800,1100,moderate,low,35,35,38,38,low (<4 dS/m),low (<4 dS/m),5,6.5,4.5,7,well (dry spells),well (dry spells),very bright,clear skies,very bright,cloudy skies,subtropical humid (Cf),"short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",150,240
Eucalyptus globoidea,deep (>>150 cm),shallow (20-50 cm),20,31,14,36,"medium, light","heavy, medium, light, wide",700,1300,600,1700,moderate,low,34,30,37,38,low (<4 dS/m),low (<4 dS/m),5.5,6.5,5,7,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",clear skies,very bright,clear skies,very bright,subtropical humid (Cf),,365,365
Eucalyptus globulus,deep (>>150 cm),shallow (20-50 cm),18,23,6,30,medium,wide,700,1400,550,1800,high,low,38,-,44,50,low (<4 dS/m),low (<4 dS/m),5.5,6.5,5,7.5,well (dry spells),well (dry spells),very bright,very bright,cloudy skies,very bright,"subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do)",neutral day (12-14 hours),150,365
Eucalyptus globulus ssp. globulus,deep (>>150 cm),shallow (20-50 cm),14,23,6,30,medium,"heavy, medium, light",700,1500,500,1800,high,low,38.5,-,43.5,43.5,low (<4 dS/m),low (<4 dS/m),5.5,6.5,5,7.5,well (dry spells),well (dry spells),very bright,very bright,very bright,cloudy skies,"subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",150,300
Eucalyptus globulus ssp. maidenii,deep (>>150 cm),medium (50-150 cm),22,30,8,35,"heavy, medium","heavy, medium, light",900,1500,700,2000,moderate,moderate,35,35,37.5,37.5,low (<4 dS/m),low (<4 dS/m),5.5,6.5,4.5,7.5,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,very bright,very bright,clear skies,subtropical humid (Cf),"short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",210,300
